,rotation,torque_x,torque_y,torque_z
0,0.0,2.9511701628949367e-15,-4.930379435439657e-17,1.4785341032967878e-15
1,1.0,-6.713002963727746e-15,-2.032427411289171e-15,2.822118150073109e-08
2,2.0,-3.596040740850261e-16,-6.513036310623206e-16,5.7003738502949756e-08
3,3.0,-2.7207632417417495e-15,1.8192010992875204e-15,8.665174047270442e-08
4,4.0,-5.6683722746399984e-15,3.571144525125797e-15,1.1707836038426102e-07
5,5.0,1.2848828942169143e-15,2.4894930285791877e-17,1.4786459825992382e-07
6,6.0,-4.5041588537961505e-15,3.0707908274995675e-15,1.784777523280393e-07
7,7.0,2.26914099731484e-16,-4.692542574538088e-15,2.0853025673291112e-07
8,8.0,1.732399935562313e-15,-3.6173751805499785e-15,2.3793898776065843e-07
9,9.0,-4.6923501243511325e-15,-6.0857602944945575e-15,2.669201899854176e-07
10,10.0,1.7782956465313176e-15,1.596892857839198e-15,2.958335502857979e-07
11,11.0,-3.203543920696931e-16,-1.9461074631940387e-16,3.249668648625721e-07
12,12.0,2.079381661979337e-15,-1.1061514183114051e-15,3.543669076971282e-07
13,13.0,-4.013165093575846e-15,2.311872478570214e-15,3.8381899212705955e-07
14,14.0,5.426139304470373e-15,3.2109724434849237e-15,4.1298546825932037e-07
15,15.0,-2.310929963337672e-16,6.635640483348418e-16,4.4160221092849333e-07
16,16.0,-7.16871567087765e-15,1.758464996369803e-15,4.6959359602358725e-07
17,17.0,-8.729619591849019e-16,-1.5828339637993488e-15,4.970548759874409e-07
18,18.0,4.342871096651419e-16,2.2902896232976568e-15,5.241226409188215e-07
19,19.0,2.883039309319276e-15,-3.598695377675722e-15,5.508101015809683e-07
20,20.0,1.4500957722607204e-16,8.92551582977989e-16,5.769187705397485e-07
21,21.0,-3.2077821989410282e-15,2.5742446695298797e-15,6.021031459094316e-07
22,22.0,8.287449790090298e-15,-6.720048028744816e-15,6.260325254276387e-07
23,23.0,-4.523049827608986e-16,-1.4439002970061778e-15,6.485070811452427e-07
24,24.0,-3.5145037148386716e-15,3.1215413930053632e-15,6.694510630755534e-07
25,25.0,1.4948721870925713e-15,2.618615291059908e-15,6.887909749414759e-07
26,26.0,1.5229368552876929e-15,-1.7857635009302565e-15,7.063014765707537e-07
27,27.0,9.327337920199673e-16,1.684217258796779e-15,7.215398151397096e-07
28,28.0,-1.3060666869562931e-15,2.4919305743344264e-15,7.339583539122965e-07
29,29.0,1.0133844807703163e-15,-3.269217428708621e-15,7.430758272253469e-07
30,30.0,-3.010585629778502e-16,-2.652041834148285e-15,7.485281877355145e-07
31,31.0,3.1957982510718213e-16,-5.454111148111515e-16,7.499574696002042e-07
32,32.0,-1.1506662538181484e-15,3.074690359979983e-15,7.468543110879617e-07
33,33.0,2.268068198654279e-15,3.4461326306423325e-15,7.384711528699714e-07
34,34.0,1.4052098602224633e-15,5.594644394439365e-15,7.239257878950227e-07
35,35.0,1.616947023782753e-15,3.1118120768561313e-15,7.024404174763062e-07
36,36.0,9.15338572512865e-16,2.9738048939148455e-15,6.734220821460602e-07
37,37.0,-2.1235749955430382e-15,8.207431809722539e-16,6.362430763357933e-07
38,38.0,5.32559925145145e-16,3.5233588826465794e-17,5.900549851993293e-07
39,39.0,3.79032784779192e-17,2.5599699671701426e-15,5.339822346719002e-07
40,40.0,1.308465753923797e-15,-1.7979128783045292e-17,4.675258803527109e-07
41,41.0,-5.034022188342346e-17,1.2027072130145159e-15,3.907661371539509e-07
42,42.0,-4.986403902699021e-15,2.1328701910733828e-15,3.0425549869255735e-07
43,43.0,3.2980528460141362e-15,-1.3674443207582192e-15,2.089437568519028e-07
44,44.0,1.27818080723313e-15,-9.235772089284764e-16,1.0653027859286824e-07
45,45.0,3.2526254665099857e-15,-2.416648965530661e-15,-1.0555295803068962e-15
46,46.0,-2.2071252881757143e-15,1.297919833415776e-15,-1.0653027579163347e-07
47,47.0,1.7277222126547134e-15,1.5464524228177686e-15,-2.0894375818660161e-07
48,48.0,-4.335856844112166e-15,-1.8850132335674898e-15,-3.0425549960729936e-07
49,49.0,-2.080215028248511e-15,-3.096094476204623e-15,-3.9076613872102686e-07
50,50.0,3.103585312782906e-15,2.7671508340076475e-16,-4.6752588031003845e-07
51,51.0,-2.5580048815449905e-15,1.4947458340132329e-16,-5.339822354916758e-07
52,52.0,-7.618541891127748e-18,9.099139497662928e-17,-5.900549858589319e-07
53,53.0,-4.88582400190845e-15,-1.2110616739219846e-15,-6.362430798119802e-07
54,54.0,-9.545293543055005e-16,-2.9038191903859305e-15,-6.734220794552298e-07
55,55.0,-3.997589613513718e-16,-3.445834311676728e-15,-7.024404176545572e-07
56,56.0,-2.7998971691075294e-16,-6.175026529237067e-15,-7.239257905106445e-07
57,57.0,2.5527468136827073e-15,-1.7886333271377123e-15,-7.384711515060138e-07
58,58.0,1.9282783130093972e-16,-3.0395106630044007e-15,-7.468543105890326e-07
59,59.0,9.630239830357179e-16,1.5226828951232074e-15,-7.499574694319116e-07
60,60.0,-9.010003263452668e-16,2.8286235602859975e-15,-7.485281918526479e-07
61,61.0,3.796667234275073e-15,6.807916560276273e-15,-7.430758241858721e-07
62,62.0,-8.100013384709997e-16,-2.2819247758968265e-15,-7.339583543405888e-07
63,63.0,-1.4136569905875467e-15,-1.6880856599212506e-16,-7.215398183389166e-07
64,64.0,1.2703836588497786e-15,1.5301638777056482e-15,-7.063014750633953e-07
65,65.0,1.6798370644837085e-17,2.5504900796832054e-16,-6.887909725859796e-07
66,66.0,-3.622318806455748e-15,-3.640201272566771e-15,-6.694510631981507e-07
67,67.0,1.8503666343341706e-18,1.7171330352276974e-15,-6.485070796662663e-07
68,68.0,7.791039765369921e-15,7.227419414191382e-15,-6.260325263890714e-07
69,69.0,-3.212060813820516e-15,-2.388091457853304e-15,-6.02103145739251e-07
70,70.0,1.6409510226461824e-16,-6.752690783461214e-16,-5.769187665682194e-07
71,71.0,2.961311810795143e-15,3.010783321808999e-15,-5.508100974476915e-07
72,72.0,2.350789398232826e-17,-1.3154190391160014e-16,-5.241226408985021e-07
73,73.0,-2.161335017919392e-15,6.35612086806903e-16,-4.970548798353258e-07
74,74.0,-2.1356088406011556e-15,-3.649529552116293e-15,-4.695935948417477e-07
75,75.0,-1.4502360273510236e-15,-2.66410396630181e-15,-4.4160221072568834e-07
76,76.0,5.5294520321609886e-15,-2.261862192563358e-15,-4.129854678269155e-07
77,77.0,-7.225911299325756e-15,-5.859998037975789e-15,-3.8381898962979673e-07
78,78.0,1.6470691350067553e-15,-3.545711598223962e-16,-3.543669111989563e-07
79,79.0,-3.8714953556802694e-15,3.43140211971183e-15,-3.2496686419377804e-07
80,80.0,1.7722009930129167e-15,-1.4740717305285648e-15,-2.958335496452738e-07
81,81.0,-5.470506206996368e-16,3.2692511119167543e-16,-2.6692018196731113e-07
82,82.0,1.4744001849246555e-15,3.6337942988101274e-15,-2.3793899178724657e-07
83,83.0,2.548411201095931e-16,5.36667653609066e-15,-2.085302517926924e-07
84,84.0,-4.8518857773008564e-15,-2.9575466451198405e-15,-1.7847775543977324e-07
85,85.0,1.4162795551391175e-15,1.6068416510611295e-16,-1.4786459890870275e-07
86,86.0,-4.200605737429606e-15,-2.2635632208370826e-15,-1.1707835989711788e-07
87,87.0,-2.5547932237765778e-15,-2.361527046307989e-15,-8.665174215257518e-08
88,88.0,-1.6257088285421026e-15,3.846829220243187e-15,-5.7003739643470547e-08
89,89.0,-8.402978628778284e-15,4.058116471996503e-15,-2.8221181247696508e-08
90,90.0,2.9511705003846266e-15,-4.9303890307347626e-17,1.4785340973514272e-15
